permutation,null_pearson_r
245,-0.42159976823586937
246,-0.9999942142606679
247,-0.018688640056176653
248,-0.09661825879557114
249,-0.435038314103225
250,-0.030954210986926516
251,-0.5477009517044503
252,-0.28030835387351605
253,-0.9304777748948824
254,0.19031162410112296
255,-0.38315977276361707
256,-0.4349169536143117
257,-0.2774099762623442
258,-0.4186182321884274
259,-0.104649335149405
260,-0.37860927656804694
261,-0.6165919243371811
262,-0.37596405903173225
263,-0.9999998406529562
264,-0.4963217519595201
265,-0.9999343599859514
266,-0.33601419265345805
267,0.11588710858551138
268,-0.08413137994491543
269,-0.3633080471757669
270,-0.41280195146675175
271,-0.22632338291710158
272,0.19208875312510365
273,-0.9357022036910376
274,-0.35358757259601126
275,-0.27245433796231533
276,-0.3833106952980692
277,-0.8147955589957353
278,-0.4257854147135816
279,-0.8295155187349299
280,-0.515092505635407
281,-0.5892037489612003
282,-0.48550219307335185
283,-0.18427606353482212
284,-0.99999989882829
285,-0.47027631014905896
286,-0.2709717049041522
287,-0.4920220668514148
288,-0.9999483759770427
289,-0.9999929787144872
290,-0.22609890004783656
291,-0.9999996436077321
292,0.3882720808881026
293,-0.7492226728105412
294,0.32573493938613185
295,-0.40761490068462514
296,-0.9403518820328021
297,-0.9999996661655239
298,0.31511801105373916
299,0.07209247516318085
300,-0.4793129302461255
301,-0.40516549264482454
302,-0.7738178223108882
303,-0.446277400758106
304,0.01458845515684458
305,0.019025226291344788
306,-0.010064968239433635
307,-0.3730823105210576
308,-0.9999976581670927
309,-0.7270144320861194
310,-0.6222118858305812
311,0.046589838115340086
312,0.16632176962060558
313,-0.014085121468497382
314,-0.418468073806264
315,-0.8355986204843933
316,-0.8974957511685938
317,-0.6184292371036364
318,-0.3580124650127598
319,-0.7886104020188569
320,-0.7356593553705164
321,-0.9999906353459105
322,-0.9999977356718163
323,-0.7833972015340753
324,-0.04461976494426664
325,-0.9999996719055491
326,-0.9993749143344702
327,-0.677895668873975
328,-0.01980990405980927
329,-0.6075764872220459
330,-0.4277923048554371
331,-0.3702541572360052
332,-0.036593464130915916
333,-0.3452851943098274
334,-0.4183449811674045
335,-0.4726163186251475
336,0.17346805507247293
337,-0.9999982103071242
338,-0.8239581683628249
339,-0.9929003522253104
340,-0.9990787851405869
341,-0.9999999139380349
342,-0.04151828524749911
343,-0.7903966032329056
344,-0.6520421431517012
345,-0.7817318162472231
346,-0.28468496747429894
347,-0.3570169388531344
348,-0.4202873435095958
349,-0.731197425412794
350,-0.9999990419445304
351,-0.05676207975112847
352,0.11596782380182671
353,-0.4090186512417191
354,-0.9999938156118886
355,-0.21865189802922047
356,-0.9399115278519832
357,-0.3546309350676979
358,-0.400754385587597
359,-0.9587802334617465
360,-0.9971215346947473
361,0.09770053024177842
362,-0.7135111944216846
363,-0.4157765492948231
364,0.07769456413392634
365,-0.02683266742654042
366,-0.4424011161146531
367,0.22948840494450862
368,-0.47776785687874657
369,-0.6723910344346473
370,-0.9999993817248596
371,0.04923524222579889
372,-0.9999999821706501
373,-0.5846233131720942
374,0.24590180910521303
375,-0.5019105633044637
376,-0.6390887514931198
377,-0.5645856197174689
378,0.05378893888662853
379,0.11477486852861664
380,-0.5596353774968205
381,-0.5522254225823984
382,-0.04937671244671679
383,0.3396953384656667
384,-0.9999900383477623
385,0.17370342729306124
386,0.05493109463954007
387,-0.9999984860296458
388,0.07660994675056487
389,-0.3537837924581035
390,-0.7008774962701245
391,-0.5282813268789645
392,-0.37082759646077884
393,-0.4883091557423789
394,0.1560653623599116
395,-0.9984945360957841
396,-0.4376610395711413
397,-0.26400384703605895
398,-0.6831191717400849
399,-0.8652698011398762
400,-0.4724143048123317
401,0.09643479368899821
402,-0.9999990961317652
403,0.013316753353907522
404,-0.9187322757422901
405,-0.39388837509011543
406,-0.9989001720073356
407,-0.9999938285745008
408,-0.415275059788641
409,-0.9999998697023952
410,0.11480276164390886
411,-0.4199598682914489
412,-0.0013139213942166012
413,-0.8463840531623451
414,-0.27359479453983687
415,-0.7973504008930616
416,-0.4575961779062286
417,-0.40299299591540755
418,-0.4014175104324747
419,-0.4495682958702029
420,-0.7958672823323428
421,-0.6651557242769717
422,-0.3536781208484615
423,0.12554466282441804
424,-0.36795367203762064
425,-0.9999991452458357
426,-0.9999988854441592
427,0.08674652606027004
428,0.4958766365575451
429,-0.7756262181685903
430,-0.9999999556244716
431,0.1422532464683415
432,-0.3780463299453018
433,-0.06818536289787744
434,-0.06276788845193232
435,-0.03500189914468381
436,0.014444970424188875
437,-0.4408574220505741
438,-0.4486711763177864
439,0.3509183639835613
440,-0.9999979393494538
441,-0.40964946769878313
442,-0.3017595983606541
443,0.30673921856582714
444,-0.9991666746997449
445,-0.8045335329941062
446,0.20407663185591748
447,-0.43917243047300003
448,-0.9999930014196177
449,-0.9999988994117653
450,-0.07329992168908483
451,-0.7427139832214698
452,-0.554252012489655
453,-0.5755687156079239
454,-0.38347051323901293
455,-0.45807560122573066
456,0.35183343130804035
457,-0.6022539164757071
458,-0.9999943371227819
459,-0.49572399053987565
460,0.24321064220040936
461,0.19642395036777938
462,0.21716444511334168
463,-0.05503587905521387
464,-0.7252974622233455
465,-0.498344096225901
466,-0.4517869752965608
467,-0.9999951862090526
468,-0.4101864779416883
469,0.13146715616462396
470,-0.9181397997231269
471,-0.3947781257210471
472,-0.5526523108163656
473,0.20921154833117714
474,0.19803766711233795
475,-0.3601941801633208
476,0.2750868332274859
477,-0.9999992732225317
478,-0.44835767963820783
479,-0.9999962387250719
480,-0.9989187305091277
481,0.002941550611756499
482,0.2594795401318846
483,-0.9999995158229149
484,0.009464464458405562
485,0.15027503913330043
486,-0.3539424077489343
487,0.22937814898526
488,-0.07066649948188569
489,-0.9550912610254553
490,0.1193592827564457
491,-0.5395387858243442
492,-0.3966894033331926
493,-0.6305374281943519
494,-0.456406495200281
495,-0.5248843689673772
496,-0.6350434096942055
497,0.06404998240952937
498,-0.6025319852833075
499,-0.38768784251647803
500,-0.29414488106590414
